Day,Cash On Hand
11,264040
12,314568
13,520407
14,138920
15,341500
16,254262
17,393694
18,198863
19,328508
20,320687
21,200454
22,402868
23,411679
24,242310
25,440020
26,432449
27,444443
28,389451
29,114182
30,278131
31,547995
32,223008
33,523463
34,582765
35,2030337
36,1026547
37,68388
38,794772
39,1570529
40,156786
41,1050746
42,4394570
43,4646423
44,9296242
45,13692474
46,15503763
47,14880863
48,16931317
49,13278060
50,13472245
51,14149329
52,17145868
53,19119857
54,23333774
55,25087055
56,25699617
57,25048419
58,25903614
59,26057317
60,27154804
61,30595086
62,30340579
63,32298756
64,34778589
65,35450846
66,36035468
67,35784730
68,35883704
69,38942632
70,43343723
71,46855248
72,49848966
73,51124425
74,52218986
75,52081128
76,55126504
77,55354452
78,56826421
79,54392791
80,52894340
81,50505514
82,52435920
83,54618151
84,59640053
85,68234059
86,68297935
87,67661210
88,68520617
89,68923680
90,70427642
